reviews,sentiment,aspect,aspect_codes_list,type_product
"sách mới_tinh , còn nguyên seal . tiki giao hàng nhanh_chóng . mình xem đánh_giá ở các kênh youtube rất nhiều rồi mới quyết_định mua . dù biết tầm quan_trọng của thói_quen tốt nhưng vẫn chưa quyết_tâm thực_hành nghiêm_chỉnh , điển_hình là giờ bị dí deadline nhưng vẫn vô đây đánh_giá nè . hy_vọng đọc sách xong sẽ khác , vì những người mình thích họ đều đọc cuốn sách này .",5,"[2, 3, 4]","[2, 3, 4]",0
sách mới nguyên seal rất ok . người giao hàng giao hàng nhanh và lịch_sự,5,"[2, 4]","[2, 4]",0
"sách được bọc nylon mới nguyên , tiki rất chuẩn chỉnh . một trong những cuốn sách rất đáng đọc để thay_đổi bản_thân .",5,[2],[2],0
"1 cuốn sách khá hay về thói_quen . đã đọc và thu về kha_khá kiến_thức hữu_ích về cách thay_đổi thói_quen cũ và hình_thành thói_quen mới thông_qua 4 bước đơn_giản làm cho thói_quen đó rõ_ràng hấp_dẫn dễ_dàng thoả_mãn . ngoài_ra , 1 ý_tưởng khá hay từ cuốn sách đó là thay_đổi thói_quen nên đi từ thay_đổi về căn tính bạn muốn trở_thành người như thế_nào , chú_trọng và tập_trung và hệ_thống , quá_trình hơn là về mục_tiêu cuối_cùng số cân nặng lý_tưởng chẳng_hạn .",5,[2],[2],0
"giao hàng đúng hẹn , đóng_gói rất cẩn_thận , sách đẹp bìa tốt . 5 sao . cảm_ơn tiki , người giao hàng and nhà cung_cấp .",5,"[2, 4]","[2, 4]",0
"nội_dung 5 sao nhé dễ đọc , dễ hiểu , có vd bằng chữ và hình_ảnh minh_hoạ . nhưng 1 sao cho chất_lượng trang giấy nhé . mong nhà xuất_bản đọc được dòng này . ban_đầu mình được giới_thiệu về sách nên muốn vào nhà_sách để đọc thử . đến khi đọc được tầm 20 mình để lại sách lên giá và về , rồi lên mạng tìm nơi bán sách rẻ nhất để mua . 189k với chất_lượng trang giấy như thế_nào thì mình không bỏ ra được .",5,"[2, 3]","[2, 3]",0
"đóng_gói đẹp , chắc_chắn , giao siêu nhanh . mới mua chưa đọc nên chưa bít , nghe mọi người bảo hay lắm",5,"[2, 4]","[2, 4]",0
đơn hàng được đóng_gói cẩn_thận . nội_dung sách và tác_giả thì khỏi phải bàn về độ nổi_tiếng và hay .,5,"[2, 4]","[2, 4]",0
"giao hàng nhanh , hàng rất đẹp",5,"[2, 4]","[2, 4]",0
"sách đọc rất hay , logic , và đơn_giản dễ hiểu phù_hợp người muốn thay_đổi bản_thân . bản dịch đọc khá ổn . giao hàng tiki siêu nhanh dù mình tỉnh_lẻ",5,"[2, 4]","[2, 4]",0
"cuốn này đọc rất cuốn_hút , dù có vài thứ rất cơ_bản nhưng cách tác_giả ví_dụ là dẫn_dắt người đọc rất hay không gây nhàn chán . lần nào đọc xong 1 chương cũng phấn_chấn cả người",5,[2],[2],0
nội_dung sách thì mình khỏi bàn rồi nhma sau bao lần mua sách ở tiki thì đây chắc_chắn p 100 đ cho tiki đã lắng_nghe đóng_góp mà đóng bọc sốc như thế_nào chứ trc mình mua là sách trần bỏ hộp á,5,[2],[2],0
một cuốn sách phải nói là thay_đổi nhận_thức của mình rất nhiều . bạn sẽ biết và hiểu được nguyên_nhân hình_thành các thói_quen và tác_giả cũng chỉ ra các yếu_tố để từ_bỏ thói_quen xấu và hình_thành thói ...,5,[2],[2],0
"mỗi lần mua sách là mình sẽ qua tiki vì ở đây vừa rẻ mà_lại còn chất_lượng , giao hàng nhanh nữa nên mua nhé",5,"[2, 3, 4]","[2, 3, 4]",0
giao hàng nhanh đủ đầy mình gặp vấn_đề về vận_chuyển nhưng giải_quyết rất nhanh . sách đẹp gói hàng cẩn_thận luôn tin_tưởng tiki,5,"[2, 4]","[2, 4]",0
"một tác_phẩm đáng đọc để giúp cải_thiện nhận_thức về thói_quen , từ đó nắm được cách hình_thành thói_quen và áp_dụng để tạo thói_quen tốt và bỏ thói_quen xấu . các bạn trẻ nên đọc quyển này càng sớm càng ...",5,"[2, 3]","[2, 3]",0
"giao hàng nhanh , gói cẩn_thận , có điều mình đặt 4 cuốn chung 1 shop , mục_đích để bớt phí vận_chuyển vậy mà cửa_hàng tách ra 2 đơn khác nhau , kaka !",5,[4],[4],0
"nhận sách đóng_gói rất đẹp , tiki gửi hàng thời_gian rõ_ràng hơn",5,"[2, 4]","[2, 4]",0
"giao vẫn siêu nhanh , bọc cẩn_thận , sách đẹp . không có gì để chê",5,"[2, 4]","[2, 4]",0
hay . nội_dung hữu_ích . tuy_nhiên chương đầu rất học_thuật và khó hiểu qua 1 lần đọc phù_hợp với người đã từng làm hoặc đọc các bài nghiên_cứu khoa_học,5,[2],[2],0
"mình mua 2 cuốn mà cuốn này thì mới có bọc nhưng cuốn kia thì không còn bọc nữa với bị trầy gáy một_chút . nhưng không sao vẫn hoan_hỉ ạ , sách vẫn mới và ok .",5,[2],[2],0
"cửa_hàng bọc kĩ lắm mọi người ạ . tiki giao hàng nhanh , người giao hàng cũng nhiệt_tình , lần sau mình sẽ đặt thêm .",5,"[1, 2, 4]","[1, 2, 4]",0
cảm_thấy tiki gói hàng okela hơn đó nha_dd,5,[4],[4],0
"sách tuyệt_vời , cuốn sách rất dễ áp_dụng vô trong cuộc_sống , cảm_ơn tác_giả và nhà_sách đã phân_phối quyển sách hay như_vậy đến người dùng",5,[2],[2],0
một cuốn sách highly recommended mọi người đọc để nhanh_chóng phát_triển bản_thân nhé . ở trong sách có hướng_dẫn mọi người làm_sao để tạo và duy_trì thói_quen hiệu_quả . nó không quá khó và cần nhiều nỗ_lực như chúng_ta nghĩ . chaiyoo !,5,[2],[2],0
giao hàng đúng hẹn . sách nguyên seal . sẽ tiếp_tục ủng_hộ tiki,5,[4],[4],0
giao hàng hơi lâu . đóng_gói cẩn_thận . sách mình muốn mua từ lâu_nay thấy sale nên mua luôn . cuốn sách khá hay và bổ_ích,5,"[2, 3, 4]","[2, 3, 4]",0
"thật may_mắn khi mình đọc cuốn sách này , nó giúp mình thay_đổi tư_duy về việc tạo_lập thói_quen . các phương_pháp mình đã ứng_dụng vì rất đơn_giản nhưng lại hiệu_quả . một cuốn sách tuyệt_vời !",5,[2],[2],0
cuốn sách này đã thay_đổi cuộc_đời mịn . giấy tốt . tiki giao đúng hẹn .,5,"[2, 4]","[2, 4]",0
"giấy tốt , nhưng phần rìa cảm_giác như keo không chắc_chắn lắm , mực không bị lem , giao hàng nhanh . rất chi là tốt nhen",5,"[2, 3, 4]","[2, 3, 4]",0
rất ưng_ý . sách được đóng_gói cẩn_thận . sáng đến công_ty đã nhận được sách . một ngày mới tốt_đẹp,5,"[2, 4]","[2, 4]",0
nội_dung sách sách hay phù_hợp với những ai thật_sự muốn nhìn_nhận lại những mong_muốn của bản_thân .,5,[2],[2],0
"sách được bọc nilon , nguyên seal , có cả notebook . mình mua dựa theo đánh_giá , nên chưa xem kỹ được nội_dung . sẽ viết đánh_giá về nội_dung sách sau",5,"[2, 3]","[2, 3]",0
"sách chất_lượng , giáo hàng nhanh",5,"[2, 3]","[2, 3]",0
sách hay lắm ạ . mình đã nghe file audio trước 1 phần và được giới_thiệu nên mua bản giấy về đọc chị tiết lại . nên mua nhá,5,[2],[2],0
tiki giao hàng nhanh thật . đóng_gói kĩ không bị móp méo . sách còn trong bịch sẽ đánh_giá sau khi đọc xong,5,[4],[4],0
"sách giao nhanh , được bọc trong seal rất kỹ , tháo seal ra bên trong không bị cấn móp gì cả . nội_dung mình chưa đọc hết nhưng vài chương đầu mình thấy hay .",5,"[2, 4]","[2, 4]",0
"giao hàng nhanh , sách đẹp đóng_gói ổn , tài_xế thân_thiện",5,"[2, 4]","[2, 4]",0
sách được bọc nylon kín . giấy đẹp .,5,[2],[2],0
"sách có nội_dung dễ hiểu dễ áp_dụng nhất trong các loại sách về thói_quen , nên mua để tham_khảo",5,[2],[2],0
đóng_gói cẩn_thận . không móp méo gì luôn . sách mới bọc seal thích lắm . sách hay,5,"[2, 4]","[2, 4]",0
"đoạn giới_thiệu khá dài_dòng , nội_dung chính dịch_thuật rất dễ hiểu và dễ nắm_bắt được nội_dung",5,[2],[2],0
"giao siêu nhanh , đóng_gói cẩn_thận , giá_cả hợp_lý , ... cực_kỳ hài_lòng ...",5,"[3, 4]","[3, 4]",0
"sách rất hay , có nhiều hướng_dẫn thực_hành . lời dịch dễ hiểu , súc_tích",5,[2],[2],0
"giao hàng nhanh sản_phẩm đóng_gói cẩn_thận chi_tiết không bị hư_hại , sách các bạn nên mua và tự trải nghiệm nhé giúp_ích rất nhiều",5,"[2, 4]","[2, 4]",0
"sách còn mới và được bao_bọc cẩn_thận , không bị quăn góc",5,[2],[2],0
"thật_sự rất thích mua sách ở đây vì rẻ , mua chắc chục cuốn r . nm lần nào gói sách cũng móp từ 1 2 tiếng",5,"[2, 3]","[2, 3]",0
"tiki đợt này giao nhanh , vận_chuyển cũng đảm_bảo hơn các lần trước . sách đọc khá cuốn , hết một chương có tóm_tắt chương nữa giúp cho mình nắm nội_dung được tôt hơn",5,"[2, 4]","[2, 4]",0
sách rất hay và bổ_ích . cực_kì đáng đọc,5,[2],[2],0
"giao hàng nhanh , chất_lượng sách tốt",5,"[2, 4]","[2, 4]",0
"sách khá hữu_ích , khá nhiều ví_dụ để có_thể dễ nắm được nội_dung hơn hơi nhiều quá , đọc hơi ấy vậy",5,[2],[2],0
hay nhé mình cbi đọc đây,5,[2],[2],0
một cuốn sách hay nên đọc và nên là gối_đầu giường của mọi người nhằm hướng tới lối sống tốt_đẹp hơn,5,[2],[2],0
nội_dung sách không phải bàn nhưng khâu đóng_gói thực_sự tệ . mình trông_ngóng hàng gần 1 tuần mà nhận hàng thì bóc seal thấy góc bị nhăn như hình r . đọc đánh_giá thấy rất nhiều người mua hàng cũng giống như mình nhưng mà tiki vẫn chưa sửa_đổi . 2 sao ạ,2,"[2, 3, 4]","[2, 3, 4]",0
"đóng_gói cẩn_thận , giao nhanh trong 1 ngày , hàng mới , đáng mua",5,"[2, 4]","[2, 4]",0
"sách hay , các bạn không nên tiếc tiền mua , giá cũng không đắt lắm so với nhiều sách khác",5,"[2, 3]","[2, 3]",0
"giao hàng khá nhanh , bọc cẩn_thận . mình đọc gần hết quyển mới review , đáng đọc mọi người nhé",5,"[2, 4]","[2, 4]",0
một cuốn sách hay,5,[2],[2],0
sách bọc rất cẩn_thận điều quan_trọng tiki giao hàng rất nhanh,5,[4],[4],0
sách hay . thực_tế và súc_tích . có_thể áp_dụng ngay vào cuộc_sống ngay từ_chương đầu_tiên . rất đáng đọc,5,[2],[2],0
"đóng_gói cẩn_thận , sách hay . dễ đọc",5,"[2, 4]","[2, 4]",0
"sách đẹp , chất_lượng ổn , sách hay",5,[2],[2],0
giao hàng nhanh,5,[4],[4],0
sách đẹp,5,[2],[2],0
"có nhiều quan_điểm hay , thực_tế",5,[2],[2],0
"sách chỉ ra các điều_kiện đẫn đến thói_quen , giúp ta hiểu rõ các yếu_tố tạo nên thói_quen tốt và bỏ đi thói_quen xấu",5,[2],[2],0
hay ! hữu_ích !,5,[2],[2],0
tốt boc don gian nhưng may cũng không bị móp .,5,[2],[2],0
cuốn sách nên xem nhiều lần để thay_đổi thói_quen từng chút một,5,[2],[2],0
cuốn sách must have cho ai muốn thay_đổi thói_quen để pt bản_thân,5,[2],[2],0
"sách đẹp , tiki giao nhanh , đóng_gói cẩn_thận",5,"[2, 4]","[2, 4]",0
đóng_gói sản_phẩm cẩn_thận,5,[4],[4],0
"chưa đọc , sách đẹp ,",5,[2],[2],0
"sách hay , bao_bì đẹp , giao hàng nhanh",5,"[2, 4]","[2, 4]",0
nội_dung khá hay,5,[2],[2],0
đẹp không coá gì để chê cả 10 10,5,[2],[2],0
"giao hàng nhanh , đóng_gói cẩn_thận",5,[4],[4],0
"sách hay quá trời , bản dịch của dịch_giả rất chính_xác và dễ hiểu",5,[2],[2],0
"giao hàg nhanh , sách không bị trầy_xước gì caelr",5,[4],[4],0
sách mới thơm chưa đọc nên không biết nói sao,5,[2],[2],0
sách đẹp lắm nha mọi người,5,[2],[2],0
sách hay . nếu có_thể thì nên đọc bằng bản tiếng anh .,5,[2],[2],0
"sách đẹp , đóng_gói cẩn_thận giao hàng siêu nhanh luôn nội_dung đáng đọc tuyệt_vời ! !",5,"[2, 4]","[2, 4]",0
"sách được vận_chuyển cẩn_thận , vẫn nguyên_vẹn khi nhận hàng .",5,[4],[4],0
"sách mới , còn nguyên bọc , giao hàng nhanh",5,"[2, 4]","[2, 4]",0
nội_dung sách rất thú_vị .,5,[2],[2],0
gói hàng kĩ . sách nguyên_vẹn .,5,[4],[4],0
"sang som dat , chieu giao hang dung hen",5,[4],[4],0
"sách viết súc_tích , dễ đọc , dễ hiểu lại vô_cùng bổ_ích , hữu_dụng",5,[2],[2],0
sách đẹp,5,[2],[2],0
"sách đẹp , chất_lượng tốt",5,[2],[2],0
"sách hay , dịch_vụ tốt",5,"[1, 2]","[1, 2]",0
"sách viết dễ hiểu , đúng trọng_tâm . giúp mình bỏ đi được thói_quen xấu",5,[2],[2],0
"sách dễ hiểu , dễ đọc , hayy ! ! !",5,[2],[2],0
tốc_độ vận_chuyển quá khủng_khiếp,5,[4],[4],0
mỗi thói_quen đều được lý_giải một_cách khoa_học . dễ đọc hay,5,[2],[2],0
"sách đọc khá hay , dễ hiểu và dễ áp_dụng .",5,[2],[2],0
sách hay .,5,[2],[2],0
"giao hàng rất nhanh , bao_bì và trên giấy của sách rất thơm",5,[4],[4],0
sách in tốt,5,[2],[2],0
"giao hàng nhanh , chất_lượng sách tốt !",5,"[2, 4]","[2, 4]",0
"giao hàng nhanh , đóng_gói cẩn_thận",5,[4],[4],0
giao hàng nhanh . đóng_gói kỹ,5,[4],[4],0
"giao hàng nhanh , chất_lượng sách tốt .",5,"[2, 4]","[2, 4]",0
bìa nhìn hơi cũ,5,[2],[2],0
hay sạch đẹp ! ! !,5,[2],[2],0
dễ áp_dụng để thay_đổi thói_quen,5,[2],[2],0
"sách này hay đó , m . n đáng đầu_tư",5,[2],[2],0
sách hay lém ạ,5,[2],[2],0
dắt t như . sách cũ bọc nilon qua là thành mới à ? bóc seal ra thấy rõ vết bẩn in dấu vân tay . markbook ở gần giữa quyển . trò_đùa à,1,[2],[2],0
tuyệt_vời ạ .,5,[2],[2],0
rất hay,5,[2],[2],0
tuyệt_vời,5,[2],[2],0
"giao hàng nhanh , sách đẹp",5,"[2, 4]","[2, 4]",0
sách hay,5,[2],[2],0
hay á,5,[2],[2],0
"sách hay , đáng mua .",5,[2],[2],0
"sách đẹp , hay 5 sao",5,[2],[2],0
"sách rất hay , giao hàng nhanh",5,"[2, 4]","[2, 4]",0
sách hay nên đọc,5,[2],[2],0
"sách rất hay , mọi người lên đọc",5,[2],[2],0
nội_dung rất hay,5,[2],[2],0
sách tốt,5,[2],[2],0
sách đóng_gói đẹp,5,"[2, 4]","[2, 4]",0
hay ạ,5,[2],[2],0
sách hay,5,[2],[2],0
hayy,5,[2],[2],0
"sách không được đầu_tư gói_ghém cẩn_thận lắm , mình thấy khá sơ_sài , bìa ngoài bị lem mực màu cam trên bìa trắng , bên trong thì mực đen in không đều màu khiến cho mình cảm_giác như sách giả , khá là thất_vọng",3,"[2, 3]","[2, 3]",0
"nội_dung sách 100 điểm . một quyển sách phải đọc dành cho tất_cả những người muốn tìm nguồn cảm_hứng và phương_pháp để thay_đổi bản_thân thành một con_người như mình mong_đợi . trừ sao do đóng_gói ẩu nha , đè 1 quyển sách nặng lên làm gập bì sách của mình .",4,"[2, 4]","[2, 4]",0
"tiki dạo này gói quà đúng chán luôn í . cũng tính phí 45k bao_gồm 15k thiệp và 30k gói quà mà nhìn lởm_chởm keo , hở mép nối , nơ xộc_xệch mang đi tặng mà ngại luôn",3,[2],[2],0
"nội_dung sách thì chắc_chắn là tuyệt_vời rồi vì mình đã nghe sách nói nhiều lần , muốn đọc sách giấy nên mua . gian_hàng tiki đề sách là chính hãng nhưng mình cũng thấy khá bất_ngờ khi rìa mấy trang sách ...",4,[2],[2],0
"hôm nọ , ngồi lướt lại một lượt những cuốn sách để trong giỏ hàng tiki của mình thì ô ! trong kệ sách mình chưa có quyển này , khi mà mình cũng đang trong quá_trình hoàn_thiện bản_thân , xây_dựng các thói ...",4,[2],[2],0
đóng_gói bị lủng sách bị vạt 1 góc,3,[4],[4],0
"đóng_gói sách còn nguyên seal không bị móp méo giao hàng nhanh . nội_dung sách mình recommend 100 không nên mua cuốn sách này bản vn dịch rất tệ , như google dịch_vậy . câu chữ không có ý_nghĩa , ...",1,"[2, 4]","[2, 4]",0
"tiki giao sách không kiểm kỹ , mới cầm lên đac thấy rách bìa sau . cuốn còn lại thì người giao hàng đại vô nhà , dọng xuống nền gãy_góc sách . tiki dạo này chất_lượng đi xuống quá",1,"[2, 4]","[2, 4]",0
"dễ_tính không kiểm_tra hàng , sách nhiều chỗ bị nhàu mình vẫn không claim nhưng đọc được 1 4 quyển sách rồi mới phát_hiện ra các bạn bán hàng mà gửi sách bị rách như thế này đây ?",1,[2],[2],0
"sách được bọc seal kĩ nhưng bị bong keo , vận_chuyển bị móp và có vệt ố",2,"[2, 4]","[2, 4]",0
"sách hay , nên đọc , mình đã đọc nhiều sách về thói_quen và cách rèn_luyện thói_quen , mình đánh_giá sách này hay hơn nhiều quyển khác , mạch_lạc và lôi_cuốn , không bị nhàm_chán khi đọc . tuy_nhiên , trừ 1 sao vì dịch quá sát nghĩa .",4,"[2, 3]","[2, 3]",0
"sách nội_dung chuẩn , bản của mình nhận có vài trang giấy lỗi nhăn , xần xì nhưng mua sách này không phải để trưng_bày mà để học_hỏi nên không sao . nội_dung thì tuyệt_vời nha , rất recommend cho những bạn đang nghiện bất_kì thứ gì , mô_hình cai_nghiện của sách rất hữu_ích .",4,[2],[2],0
không chấp_nhận được khi mua mở ra bị rách cả một góc dưới bìa dưới làm_ăn_vầy thì không ổn hi_vọng đổi lại ngay cho mình,1,[2],[2],0
"fahasa giao hàng siêu nhanh , dịch_vụ tốt . 5 chất_lượng bản in hơi thấp , đọc bị hằn chữ từ trang khác làm giảm trải nghiệm rất nhiều . cảm_thấy sản_phẩm không tương_xứng với giá tiền",3,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
"đọc vài hôm bị sứt trang , tui muốn giữ sách ngư vàng mà cầm đọc thôi nó cũng bị vậy nữa thì tệ thật",1,[2],[2],0
"chất_lượng sách khá ok . nội_dung khá hấp_dẫn , mọi người có_thể học_tập theo để hình_thành các thói_quen tốt cho bản_thân mình cũng như xoá_bỏ các thói_quen xấu . tựu chung , chúng_ta phải rèn_luyện bản_thân một_cách có kỷ_luật mới mong phát_triển được . chúc các bạn may_mắn .",4,[2],[2],0
sách rất hay . giao hàng nhanh . chất_lượng sách cũng ổn . tuy_nhiên không biết do gói hàng hay sao mà 1 đoạn sách bị nhăn .,3,"[2, 4]","[2, 4]",0
sách khá là đẹp đóng_gói cũng ổn nói_chung không có vấn_đề gì sách hay nên mua,4,"[2, 4]","[2, 4]",0
gói hàng quá tệ . sách vẫn bị móp,2,[4],[4],0
được giới_thiệu sách này hay với bản tiếng anh mình đã rất hào_hứng nhưng khi đọc quyển này được tới 1 5 quyển sách thì mình thấy phần dịch rất không hay đọc đúng kiểu dịch word by word nó khó hiểu và rời_rạc,1,[2],[2],0
"giao hàng chậm hơn dự_kiến 2 ngày , lần đầu_tiên thấy tiki giao chậm chậm đến vậy",3,[4],[4],0
"giá sách khá rẻ so với fahasa , giao hàng nhanh đặt hôm_nay là 2 ngày sau có rồi nhưng sách bị dơ .",4,"[2, 3, 4]","[2, 3, 4]",0
sách có bọc seal cẩn_thận giao hàng nhanh,4,[4],[4],0
sách mới nhận bao_bì in đẹp nhưng mới mở ra đọc lại bị rơi vài tờ ra là sao ? ? ? ?,3,[2],[2],0
sách bị in lệch rất nhiều trang gần nửa quyển tầm 2 6 có chỗ đậm chỗ nhạt vẫn đọc được mik bị ocd nhưng nội_dung khá hay chất_lượng và đáng tiền mọi người nên đọc quyển này ebook mua sách,3,"[2, 3]","[2, 3]",0
"nội_dung cực hay nha , chất_lượng giấy cũng rất xịn sờ sướng tay , định cho 5 nhưng một_vài trang tự_nhiên bị lỗi in hơi mờ nên cho 4 ấy . mình thấy cuốn này như_vậy là rất đáng đồng_tiền nha",4,"[2, 3]","[2, 3]",0
"nếu không hộp có 1 cuốn to hơn , thì tiki nên gói cuốn nhỏ hơn thêm lớp bọc bóng . giao hàng nhanh . sách nội_dung hay thực_tiễn , mực rõ_ràng , giấy mỏng nhưng phù_hợp với sách .",4,"[2, 4]","[2, 4]",0
"đọc dễ hiểu , sách mới_toanh , chất_lượng giấy tốt",4,[2],[2],0
"gáy sách thì bị nhăn và lem , giao hàng thời_gian chậm",2,[4],[4],0
"bẩn tùm_lum , đóng_gói quá tệ",1,[4],[4],0
sách bị thiếu từ trang 64 81 . đổi lại giúp e .,1,[2],[2],0
giao sách kiểu gì mà xứt ra cả chục trang_vậy ? ? ? ? ? ? ?,1,[4],[4],0
toàn sách lậu . mua 4q đều sách làm lại,1,[2],[2],0
"sách ổn , nội_dung hay . tuy_nhiên sách bị móp ở góc",4,[2],[2],0
"sản_phẩm đóng_gói tốt , giao hàng nhanh !",4,"[2, 4]","[2, 4]",0
vừa lật ra đã như này,3,[2],[2],0
sách được bảo_quản không tốt,4,[2],[2],0
chưa bàn tới nội_dung nhưng chất_lượng in khá tệ . lúc mờ lúc đậm không đều gây khó_chịu .,3,[2],[2],0
"giao nhanh , bọc đẹp",4,"[2, 4]","[2, 4]",0
"chất_liệu giấy không đẹp , mọi người cân_nhắc trước khi mua bản rẻ này nhé",4,"[2, 3]","[2, 3]",0
chất_lượng sách tốt,4,[2],[2],0
nội_dung hấp_dẫn,4,[2],[2],0
"đánh_giá không tính điểm vận_chuyển viettelpost có thái_độ vô_học , bận đi học không nhận hàng lúc 10h được hẹn 2h30 3h chiều liên_hệ nhận đã đồng_ý đến lúc 14h30 khách tụ chủ_động nhắc , gọi kêu 3h giao hàng thì tắt máy chặn số , dùng số khác gọi lại mà quát_tháo khách , chất_vấn khách như con_đẻ còn tỏ thái_độ côn_đồ nạt khách sao gọi không được để ra lấy hàng rồi định quăng hàng lại lên xe không giao nữa trong khi người giao hàng chặn số người_ta rồi thì nghe máy kiểu gì ? ? ?",1,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
đánh_giá không tính điểm lại thêm một cuốn được giao hàng và đóng_gói cẩu_thả bởi tiki trading nơi dịch_vụ mình luôn tín_nhiệm thay_vì đặt ở các trang official của những nhà_sách lớn . là người bọc sách kỹ_càng nên mình rất buồn .,3,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
"về dịch_vụ từ trước đến nay , mình đánh_giá rất cao về chất_lượng dịch_vụ cụ tiki , đặc_biệt đối_với sản_phẩm là sách . dịch_vụ chất_lượng rất tốt , đóng_gói rất cẩn_thận và bảo_quản khá kỉ tuy ở góc hơi bị cong dù đã có cả miếng xốp ở trong , thời_gian giao cũng khá ổn 3 ngày từ thành_phố hồ chí minh ... về sản_phẩm hình_thức cách thành_văn của tác_giả archer rất được đánh_giá cao , cách kể chuyện và dẫn_dắt vô_cùng thành_công khi khiến người đọc cảm_nhận và hình_dung được rõ bối_cảnh và tình_tiết câu_chuyện lẫn nhân_vật ... nội_dung đây là tác_phẩm kinh_điển , chắc cũng không cần bàn nhiều về độ hay và ý_nghĩa của tác_phẩm rồi nhỉ ! giá_trị của tác_phẩm chỉ khi trực_tiếp đọc thì mới cảm_nhận được . nói_chung , cửa_hàng và sách xứng_đáng 5 sao",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
"giao hàng nhanh , mình đặt 23h30 22 10 10h 23 10 nhận hàng freeship nữa nha . đóng_gói cẩn_thận , sách mới , bìa cứng , vừa bỏ balo . nhân_viên diệp chi phong thân_thiện , vui_vẻ với khách . giá trọn_gói 177k . sẽ ủng_hộ tiki tiếp",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
