sentiment,reviews,type_product,aspect
4,"Sách mới tinh, còn nguyên seal. TIKI giao hàng nhanh chóng. Mình xem review ở các kênh youtube rất nhiều rồi mới quyết định mua. Dù biết tầm quan trọng của thói quen tốt nhưng vẫn chưa quyết tâm thực hành nghiêm chỉnh, điển hình là giờ bị dí deadline nhưng vẫn vô đây đánh giá nè. Hy vọng đọc sách xong sẽ khác, vì những người mình thích họ đều đọc cuốn sách này. Thu gọn",0,"ship, quality, price"
4,Sách mới nguyên seal rất ok. Shipper giao hàng nhanh và lịch sự,0,"ship, quality"
5,"Sách được bọc nylon mới nguyên, Tiki rất chuẩn chỉnh. Một trong những cuốn sách rất đáng đọc để thay đổi bản thân.",0,quality
5,"1 cuốn sách khá hay về thói quen. Đã đọc và thu về kha khá kiến thức hữu ích về cách thay đổi thói quen cũ và hình thành thói quen mới thông qua 4 bước đơn giản Làm cho thói quen đó rõ ràng hấp dẫn dễ dàng thoả mãn. Ngoài ra, 1 ý tưởng khá hay từ cuốn sách đó là thay đổi thói quen nên đi từ thay đổi về căn tính bạn muốn trở thành người như thế nào , chú trọng và tập trung và hệ thống, quá trình hơn là về mục tiêu cuối cùng số cân nặng lý tưởng chẳng hạn . Thu gọn",0,quality
5,"Giao hàng đúng hẹn, đóng gói rất cẩn thận, sách đẹp bìa tốt. 5 sao. Thanks Tiki, shipper and nhà cung cấp.",0,"ship, quality"
4,"Nội dung 5 sao nhé dễ đọc, dễ hiểu, có vd bằng chữ và hình ảnh minh hoạ. Nhưng 1 sao cho chất lượng trang giấy nhé. Mong nhà xuất bản đọc được dòng này. Ban đầu mình được giới thiệu về sách nên muốn vào nhà sách để đọc thử. Đến khi đọc được tầm 20 mình để lại sách lên giá và về, rồi lên mạng tìm nơi bán sách rẻ nhất để mua. 189k vs chất lượng trang giấy ntn thì mình không bỏ ra được. Thu gọn",0,"quality, price"
4,"Đóng gói đẹp, chắc chắn, giao siêu nhanh. Mới mua chưa đọc nên chưa bít, nghe mn bảo hay lắm",0,"ship, quality"
5,Đơn hàng được đóng gói cẩn thận. Nội dung sách và tác giả thì khỏi phải bàn về độ nổi tiếng và hay.,0,"ship, quality"
4,"Giao hàng nhanh, hàng rất đẹp",0,"ship, quality"
5,"Sách đọc rất hay, logic, và đơn giản dễ hiểu phù hợp người muốn thay đổi bản thân. Bản dịch đọc khá ổn. Giao hàng tiki siêu nhanh dù mình tỉnh lẻ",0,"ship, quality"
5,"Cuốn này đọc rất cuốn hút, dù có vài thứ rất cơ bản nhưng cách tác giả ví dụ là dẫn dắt người đọc rất hay không gây nhàn chán. Lần nào đọc xong 1 chương cũng phấn chấn cả người",0,quality
5,nội dung sách thì mình khỏi bàn rồi nhma sau bao lần mua sách ở tiki thì đây chắc chắn p 100 đ cho tiki đã lắng nghe đóng góp mà đóng bọc sốc ntn chứ trc mình mua là sách trần bỏ hộp á,0,quality
5,Một cuốn sách phải nói là thay đổi nhận thức của mình rất nhiều. Bạn sẽ biết và hiểu được nguyên nhân hình thành các thói quen và tác giả cũng chỉ ra các yếu tố để từ bỏ thói quen xấu và hình thành thói.,0,quality
5,"Mỗi lần mua sách là mình sẽ qua Tiki vì ở đây vừa rẻ mà lại còn chất lượng, giao hàng nhanh nữa nên mua nhé",0,"ship, quality, price"
5,Giao hàng nhanh đủ đầy mình gặp vấn đề về vận chuyển nhưng giải quyết rất nhanh. Sách đẹp gói hàng cẩn thận luôn tin tưởng tiki,0,"ship, quality"
5,"một tác phẩm đáng đọc để giúp cải thiện nhận thức về thói quen, từ đó nắm được cách hình thành thói quen và áp dụng để tạo thói quen tốt và bỏ thói quen xấu. Các bạn trẻ nên đọc quyển này càng sớm càng.",0,"quality, price"
3,"giao hàng nhanh, gói cẩn thận, có điều mình đặt 4 cuốn chung 1 shop, mục đích để bớt phí vận chuyển vậy mà shop tách ra 2 đơn khác nhau, kaka!",0,"ship, price, cskh"
4,"Nhận sách đóng gói rất đẹp, tiki gửi hàng thời gian rõ ràng hơn",0,"ship, quality, price"
5,"Giao vẫn siêu nhanh, bọc cẩn thận, sách đẹp. Không có gì để chê",0,"ship, quality"
4,Hay. Nội dung hữu ích. Tuy nhiên chương đầu rất học thuật và khó hiểu qua 1 lần đọc phù hợp với người đã từng làm hoặc đọc các bài nghiên cứu khoa học,0,quality
3,"Mình mua 2 cuốn mà cuốn này thì mới có bọc nhưng cuốn kia thì không còn bọc nữa với bị trầy gáy một chút. Nhưng không sao vẫn hoan hỉ ạ, sách vẫn mới và OK.",0,quality
5,"Shop bọc kĩ lắm mọi người ạ. Tiki giao hàng nhanh, shipper cũng nhiệt tình, lần sau mình sẽ đặt thêm.",0,"ship, quality, cskh"
5,"Sách tuyệt vời, cuốn sách rất dễ áp dụng vô trong cuộc sống, cảm ơn tác giả và nhà sách đã phân phối quyển sách hay như vậy đến người dùng",0,quality
5,Một cuốn sách highly recommended mọi người đọc để nhanh chóng phát triển bản thân nhé. Ở trong sách có hướng dẫn mọi người làm sao để tạo và duy trì thói quen hiệu quả. Nó không quá khó và cần nhiều nỗ lực như chúng ta nghĩ. Chaiyo! Thu gọn,0,quality
4,Giao hàng đúng hẹn. Sách nguyên seal. Sẽ tiếp tục ủng hộ Tiki,0,ship
4,Giao hàng hơi lâu. Đóng gói cẩn thận. Sách mình muốn mua từ lâu nay thấy sale nên mua luôn. Cuốn sách khá hay và bổ ích,0,"ship, quality, price"
5,"Thật may mắn khi mình đọc cuốn sách này, nó giúp mình thay đổi tư duy về việc tạo lập thói quen. Các phương pháp mình đã ứng dụng vì rất đơn giản nhưng lại hiệu quả. Một cuốn sách tuyệt vời!",0,quality
5,Cuốn sách này đã thay đổi cuộc đời mịn. Giấy tốt. Tiki giao đúng hẹn.,0,"ship, quality"
4,"Giấy tốt, nhưng phần rìa cảm giác như keo không chắc chắn lắm, mực không bị lem, ship nhanh. Rất chi là oke nhen",0,"ship, quality, price"
5,Rất ưng ý. Sách được đóng gói cẩn thận. Sáng đến Công ty đã nhận được sách. Một ngày mới tốt đẹp,0,"ship, quality"
5,Nội dung sách sách hay phù hợp với những ai thật sự muốn nhìn nhận lại những mong muốn của bản thân.,0,quality
4,"Sách được bọc nilon, nguyên seal, có cả notebook. Mình mua dựa theo review , nên chưa xem kỹ được nội dung. Sẽ viết đánh giá về nội dung sách sau",0,"quality, price"
4,"Sách chất lượng, giáo hàng nhanh",0,"quality, price"
5,Sách hay lắm ạ. Mình đã nghe file audio trước 1 phần và được giới thiệu nên mua bản giấy về đọc chị tiết lại. Nên mua nhá,0,quality
4,Tiki giao hàng nhanh thật. Đóng gói kĩ không bị móp méo. Sách còn trong bịch sẽ review sau khi đọc xong,0,ship
4,"Sách giao nhanh, được bọc trong seal rất kỹ, tháo seal ra bên trong ko bị cấn móp gì cả. Nội dung mình chưa đọc hết nhưng vài chương đầu mình thấy hay.",0,"ship, quality"
5,"Giao hàng nhanh, sách đẹp đóng gói ổn, tài xế thân thiện",0,"ship, quality"
4,Sách được bọc nylon kín. Giấy đẹp.,0,quality
5,Đóng gói cẩn thận. Ko móp méo gì luôn. Sách mới bọc seal thích lắm. Sách hay,0,"ship, quality"
5,"Giao siêu nhanh, đóng gói cẩn thận, giá cả hợp lý, . cực kỳ hài lòng .",0,"ship, price"
5,"Sách rất hay, có nhiều hướng dẫn thực hành. Lời dịch dễ hiểu, súc tích",0,"quality, price"
5,"giao hàng nhanh sản phẩm đóng gói cẩn thận chi tiết không bị hư hại , sách các bạn nên mua và tự trải nghiệm nhé giúp ích rất nhiều",0,"ship, quality"
4,"Sách còn mới và được bao bọc cẩn thận, không bị quăn góc",0,"ship, quality"
3,"Thật sự rất thích mua sách ở đây vì rẻ, mua chắc chục cuốn r. Nm lần nào gói sách cũng móp từ 1 2 tiếng",0,"quality, price"
5,"Tiki đợt này giao nhanh, vận chuyển cũng đảm bảo hơn các lần trước. Sách đọc khá cuốn, hết một chương có tóm tắt chương nữa giúp cho mình nắm nội dung được tôt hơn",0,"ship, quality"
5,Sách rất hay và bổ ích. Cực kì đáng đọc,0,quality
4,"Giao hàng nhanh, chất lượng sách oke",0,"ship, quality"
5,hay nhé mình cbi đọc đây,0,quality
5,Một cuốn sách hay nên đọc và nên là gối đầu giường của mọi người nhằm hướng tới lối sống tốt đẹp hơn,0,quality
2,Nội dung sách ko phải bàn nhưng khâu đóng gói thực sự tệ. Mình trông ngóng hàng gần 1 tuần mà nhận hàng thì bóc seal thấy góc bị nhăn như hình r. Đọc đánh giá thấy rất nhiều người mua hàng cũng giống như mình nhưng mà Tiki vẫn chưa sửa đổi. 2 sao ạ Thu gọn,0,"ship, quality, price"
5,"Đóng gói cẩn thận, giao nhanh trong 1 ngày, hàng mới, đáng mua",0,"ship, quality"
5,"Sách hay, các bạn không nên tiếc tiền mua, giá cũng không đắt lắm so với nhiều sách khác",0,"quality, price"
5,"Ship khá nhanh, bọc cẩn thận. Mình đọc gần hết quyển mới review, đáng đọc mn nhé",0,"ship, quality"
5,Một cuốn sách hay,0,quality
5,Sách bọc rất cẩn thận Điều quan trọng tiki ship rất nhanh,0,ship
5,Sách hay. Thực tế và súc tích. Có thể áp dụng ngay vào cuộc sống ngay từ chương đầu tiên. Rất đáng đọc,0,quality
5,"Đóng gói cẩn thận, sách hay. Dễ đọc",0,"ship, quality"
5,"Sách đẹp, chất lượng ổn, sách hay",0,quality
4,Giao hàng nhanh,0,ship
4,Sách đẹp,0,quality
5,"Có nhiều quan điểm hay, thực tế",0,quality
5,"sách chỉ ra các điều kiện đẫn đến thói quen, giúp ta hiểu rõ các yếu tố tạo nên thói quen tốt và bỏ đi thói quen xấu",0,quality
5,Hay! Hữu ích!,0,quality
3,Ok boc don gian nhưng may cũng k bị móp .,0,quality
5,Cuốn sách nên xem nhiều lần để thay đổi thói quen từng chút một,0,quality
5,Cuốn sách must have cho ai muốn thay đổi thói quen để pt bản thân,0,quality
5,"Sách đẹp, tiki giao nhanh, đóng gói cẩn thận",0,"ship, quality"
4,Đóng gói sản phẩm cẩn thận,0,ship
4,"chưa đọc, sách đẹp,",0,quality
5,"Sách hay, bao bì đẹp, giao hàng nhanh",0,"ship, quality"
5,Nội dung khá hay,0,quality
5,Đẹp ko coá j để chê cả 10 10,0,quality
4,"giao hàng nhanh, đóng gói cẩn thận",0,ship
5,"Sách hay quá trời, bản dịch của dịch giả rất chính xác và dễ hiểu",0,quality
4,"giao hàg nhanh, sách ko bị trầy xước gì caelr",0,ship
4,Sách mới thơm chưa đọc nên ko biết nói sao,0,quality
4,Sách đẹp lắm nha mn,0,quality
5,Sách hay. Nếu có thể thì nên đọc bằng bản tiếng Anh.,0,quality
5,"Sách đẹp, đóng gói cẩn thận Giao hàng siêu nhanh luôn Nội dung đáng đọc Tuyệt vời!!",0,"ship, quality"
4,"Sách được vận chuyển cẩn thận, vẫn nguyên vẹn khi nhận hàng.",0,ship
4,"sách mới, còn nguyên bọc, giao hàng nhanh",0,"ship, quality"
4,"Sang som dat, chieu giao hang dung hen",0,"ship, quality"
5,"Sách viết súc tích, dễ đọc, dễ hiểu lại vô cùng bổ ích, hữu dụng",0,quality
4,sách đẹp,0,quality
4,"sách đẹp, chất lượng tốt",0,quality
5,"Sách hay, dịch vụ tốt",0,"quality, cskh"
5,"sách viết dễ hiểu, đúng trọng tâm. Giúp mình bỏ đi được thói quen xấu",0,quality
5,"Sách dễ hiểu, dễ đọc, hay!",0,quality
5,Tốc độ vận chuyển quá khủng khiếp,0,ship
5,Mỗi thói quen đều được lý giải một cách khoa học.Dễ đọc hay,0,quality
5,"Sách đọc khá hay, dễ hiểu và dễ áp dụng.",0,quality
5,Sách hay.,0,quality
5,"Giao hàng rất nhanh, bao bì và Trên giấy của sách rất thơm",0,ship
4,Sách in tốt,0,quality
4,"Giao hàng nhanh, chất lượng sách tốt !",0,"ship, quality"
4,"Giao hàng nhanh, đóng gói cẩn thận",0,ship
4,Giao hàng nhanh. Đóng gói kỹ,0,ship
4,"Giao hàng nhanh, chất lượng sách tốt.",0,"ship, quality"
3,Bìa nhìn hơi cũ,0,quality
5,Hay sạch đẹp !,0,quality
5,Dễ áp dụng để thay đổi thói quen,0,quality
5,"Sách này hay đó, m.n đáng đầu tư",0,quality
5,Sách hay lém ạ,0,quality
1,Dắt t như . Sách cũ bọc nilon qua là thành mới à? Bóc seal ra thấy rõ vết bẩn in dấu vân tay. Markbook ở gần giữa quyển. Trò đùa à,0,quality
5,rất hay,0,quality
4,"Giao hàng nhanh, sách đẹp",0,"ship, quality"
5,sách hay,0,quality
5,Hay á,0,quality
5,"Sách hay, đáng mua.",0,quality
5,"Sách đẹp, hay 5 sao",0,quality
5,"sách rất hay, giao hàng nhanh",0,"ship, quality"
5,Sách hay nên đọc,0,quality
5,"Sách rất hay, mn lên đọc",0,quality
5,Nội dung rất hay,0,quality
4,Sách tốt,0,quality
4,Sách đóng gói đẹp,0,"ship, quality"
5,hay ạ,0,quality
5,Sách hay,0,quality
2,"Sách không được đầu tư gói ghém cẩn thận lắm, mình thấy khá sơ sài, bìa ngoài bị lem mực màu cam trên bìa trắng, bên trong thì mực đen in không đều màu khiến cho mình cảm giác như sách giả, khá là thất vọng Thu gọn",0,"quality, price"
4,"Nội dung sách 100 điểm. Một quyển sách phải đọc dành cho tất cả những người muốn tìm nguồn cảm hứng và phương pháp để thay đổi bản thân thành một con người như mình mong đợi. Trừ sao do đóng gói ẩu nha, đè 1 quyển sách nặng lên làm gập bì sách của mình. Thu gọn",0,"ship, quality"
2,"Tiki dạo này gói quà đúng chán luôn í. Cũng tính phí 45k bao gồm 15k thiệp và 30k gói quà mà nhìn lởm chởm keo, hở mép nối, nơ xộc xệch Mang đi tặng mà ngại luôn",0,"quality, price"
4,"Nội dung sách thì chắc chắn là tuyệt vời rồi vì mình đã nghe sách nói nhiều lần, muốn đọc sách giấy nên mua. Gian hàng tiki đề sách là chính hãng nhưng mình cũng thấy khá bất ngờ khi rìa mấy trang sách.",0,quality
3,"Hôm nọ, ngồi lướt lại một lượt những cuốn sách để trong giỏ hàng Tiki của mình thì ô! trong kệ sách mình chưa có quyển này, khi mà mình cũng đang trong quá trình hoàn thiện bản thân, xây dựng các thói.",0,quality
2,Đóng gói bị lủng Sách bị vạt 1 góc,0,ship
2,"Đóng gói sách còn nguyên seal không bị móp méo Giao hàng nhanh. Nội dung sách mình Recommend 100 không nên mua cuốn sách này bản VN DỊCH RẤT TỆ, như google dịch vậy. Câu chữ không có ý nghĩa,.",0,"ship, quality"
2,"Tiki giao sách ko kiểm kỹ, mới cầm lên đac thấy rách bìa sau. Cuốn còn lại thì shipper đại vô nhà, dọng xuống nền gãy góc sách. Tiki dạo này chất lượng đi xuống quá",0,"ship, quality"
2,"Dễ tính không kiểm tra hàng, sách nhiều chỗ bị nhàu mình vẫn không claim nhưng đọc được 1 4 quyển sách rồi mới phát hiện ra các bạn bán hàng mà gửi sách bị rách như thế này đây?",0,quality
2,"Sách được bọc seal kĩ nhưng bị bong keo, vận chuyển bị móp và có vệt ố",0,"ship, quality"
4,"Sách hay, nên đọc, mình đã đọc nhiều sách về thói quen và cách rèn luyện thói quen, mình đánh giá sách này hay hơn nhiều quyển khác, mạch lạc và lôi cuốn, không bị nhàm chán khi đọc. Tuy nhiên, trừ 1 sao vì dịch quá sát nghĩa. Thu gọn",0,"quality, price"
4,"Sách nội dung chuẩn, bản của mình nhận có vài trang giấy lỗi nhăn, xần xì nhưng mua sách này ko phải để trưng bày mà để học hỏi nên ko sao. Nội dung thì tuyệt vời nha, rất recommend cho những bạn đang nghiện bất kì thứ gì, mô hình cai nghiện của sách rất hữu ích. Thu gọn",0,"quality, price"
1,Ko chấp nhận được khi mua mở ra bị rách cả một góc dưới bìa dưới làm ăn vầy thì ko ổn hi vọng đổi lại ngay cho mình,0,quality
3,"Fahasa giao hàng siêu nhanh, dịch vụ tốt. 5 Chất lượng bản in hơi thấp, đọc bị hằn chữ từ trang khác làm giảm trải nghiệm rất nhiều. Cảm thấy sản phẩm k tương xứng với giá tiền",0,"ship, quality, price, cskh"
2,"Đọc vài hôm bị sứt trang, tui muốn giữ sách ngư vàng mà cầm đọc thôi nó cũng bị vậy nữa thì tệ thật",0,quality
5,"Chất lượng sách khá ok. Nội dung khá hấp dẫn, mọi người có thể học tập theo để hình thành các thói quen tốt cho bản thân mình cũng như xoá bỏ các thói quen xấu. Tựu chung, chúng ta phải rèn luyện bản thân một cách có kỷ luật mới mong phát triển được. Chúc các bạn may mắn. Thu gọn",0,quality
4,Sách rất hay. Giao hàng nhanh. Chất lượng sách cũng ổn. Tuy nhiên ko biết do gói hàng hay sao mà 1 đoạn sách bị nhăn.,0,"ship, quality"
5,Sách khá là đẹp đóng gói cx ổn nói chung k có vấn đề gì sách hay nên mua,0,"ship, quality"
2,Được giới thiệu sách này hay với bản tiếng anh mình đã rất hào hứng nhưng khi đọc quyển này được tới 1 5 quyển sách thì mình thấy phần dịch rất ko hay Đọc đúng kiểu dịch word by word nó khó hiểu và rời rạc Thu gọn,0,quality
2,"Giao hàng chậm hơn dự kiến 2 ngày, lần đầu tiên thấy tiki giao chậm trễ đến vậy",0,ship
3,"Giá sách khá rẻ so vs Fahasa, giao hàng nhanh đặt hôm nay là 2 ngày sau có rồi nhưng sách bị dơ.",0,"ship, quality, price"
4,Sách có bọc seal cẩn thận Giao hàng nhanh,0,ship
2,Sách mới nhận bao bì in đẹp nhưng mới mở ra đọc lại bị rơi vài tờ ra là sao?,0,quality
4,Sách bị in lệch rất nhiều trang gần nửa quyển tầm 2 6 có chỗ đậm chỗ nhạt vẫn đọc được mik bị ocd Nhưng nội dung khá hay chất lượng và đáng tiền mọi người nên đọc quyển này ebook mua sách Thu gọn,0,"quality, price"
4,"Nội dung cực hay nha, chất lượng giấy cũng rất xịn sờ sướng tay, định cho 5 nhưng một vài trang tự nhiên bị lỗi in hơi mờ nên cho 4 ấy. Mình thấy cuốn này như vậy là rất đáng đồng tiền nha",0,"quality, price"
4,"Nếu ko hộp có 1 cuốn to hơn, thì tiki nên gói cuốn nhỏ hơn thêm lớp bọc bóng. Giao hàng nhanh. Sách nội dung hay thực tiễn, mực rõ ràng, giấy mỏng nhưng phù hợp với sách.",0,"ship, quality"
5,"đọc dễ hiểu, sách mới toanh, chất lượng giấy tốt",0,quality
2,"Gáy sách thì bị nhăn và lem, giao hàng thời gian chậm",0,"ship, price"
2,"bẩn tùm lum, đóng gói quá tệ",0,ship
1,Sách bị thiếu từ trang 64 81 . Đổi lại giúp e .,0,quality
1,Giao sách kiểu gì mà xứt ra cả chục trang vậy?,0,ship
1,Toàn sách lậu. Mua 4q đều sách làm lại,0,quality
4,"Sách ổn, nội dung hay. Tuy nhiên sách bị móp ở góc",0,quality
4,"Sản phẩm đóng gói tốt, giao hàng nhanh!",0,"ship, quality"
2,vừa lật ra đã như này,0,quality
2,Sách được bảo quản không tốt,0,quality
2,Chưa bàn tới nội dung nhưng chất lượng in khá tệ. Lúc mờ lúc đậm không đều gây khó chịu.,0,quality
4,"giao nhanh, bọc đẹp",0,"ship, quality"
3,"Chất liệu giấy không đẹp, mn cân nhắc trước khi mua bản rẻ này nhé",0,"quality, price"
4,chất lượng sách tốt,0,quality
1,"Đánh giá không tính điểm vận chuyển Viettelpost có thái độ vô học, bận đi học không nhận hàng lúc 10h được hẹn 2h30 3h chiều liên hệ nhận đã đồng ý đến lúc 14h30 khách tụ chủ động nhắc, gọi kêu 3h giao hàng thì tắt máy chặn số, dùng số khác gọi lại mà quát tháo khách, chất vấn khách như con đẻ còn tỏ thái độ côn đồ nạt khách sao gọi không được để ra lấy hàng rồi định quăng hàng lại lên xe không giao nữa trong khi shipper chặn số người ta rồi thì nghe máy kiểu gì? Thu gọn",0,"ship, quality, price, cskh"
2,Đánh giá không tính điểm lại thêm một cuốn được giao hàng và đóng gói cẩu thả bởi Tiki Trading nơi dịch vụ mình luôn tín nhiệm thay vì đặt ở các trang official của những nhà sách lớn. là người bọc sách kỹ càng nên mình rất buồn. Thu gọn,0,"ship, quality, price, cskh"
5,"Về dịch vụ Từ trước đến nay, mình đánh giá rất cao về chất lượng dịch vụ cụ Tiki, đặc biệt đối với sản phẩm là sách. Dịch vụ chất lượng rất tốt, đóng gói rất cẩn thận và bảo quản khá kỉ tuy ở góc hơi bị cong dù đã có cả miếng xốp ở trong , thời gian giao cũng khá ổn 3 ngày từ TP HCM . Về sản phẩm Hình thức Cách thành văn của tác giả Archer rất được đánh giá cao, cách kể chuyện và dẫn dắt vô cùng thành công khi khiến người đọc cảm nhận và hình dung được rõ bối cảnh và tình tiết câu chuyện lẫn nhân vật . Nội dung Đây là tác phẩm kinh điển, chắc cũng không cần bàn nhiều về độ hay và ý nghĩa của tác phẩm rồi nhỉ! Giá trị của tác phẩm chỉ khi trực tiếp đọc thì mới cảm nhận được. Nói chung, shop và sách xứng đáng 5 sao Thu gọn",0,"ship, quality, price, cskh"
5,"Giao hàng nhanh, mình đặt 23h30 22 10 10h 23 10 nhận hàng freeship nữa nha . Đóng gói cẩn thận, sách mới, bìa cứng, vừa bỏ balo. Nhân viên Diệp Chi Phong thân thiện, vui vẻ với khách. Giá trọn gói 177k. Sẽ ủng hộ Tiki tiếp Thu gọn",0,"ship, quality, price, cskh"
5,"10 điểm không có nhưng ạ Ao ước có cuốn này lâu lắm rồi bữa định mua nhưng lên coi trúng clip mấy anh chị rv sách nói nay Tiki giảm mạnh, do đó đợi tới hnay mới mua Sáng dậy là tranh thủ đặt liền, lần đầu trải nghiệm giao hàng hoả tốc vì nay đc freeship Giao hàng nhanh kinh khủng huhu cỡ 2 tiếng là có sách rồi Coi cmt nhiều ng kêu sách Tiki giao tới luôn gãy góc này kia, nhưng may mắn mình thì ổn Có dịch vụ gói quà free nữa, quá xịn Thu gọn",0,"ship, quality, cskh"
5,"Lại thêm một cuốn được liệt vào sách khóc của t. Không có gì cho đến trang 759, t khóc từ đây tới cuối luôn. Tất cả như chốt hạ lại trong cái tên của cháu trai cái tên xuyên suốt mạch truyện, tổng hoà dâng trào cảm xúc. Hai số phận, hai con người, và 1 William Abel Kane. Một tác phẩm đáng để trải nghiệm nhà mn Thu gọn",0,quality
4,"Nghe sách nói được chương 1 là dính liền phải lên Tiki đặt ngay. Sách đẹp, giấy đẹp, mỗi tội k có markbook, thấy mấy chỗ khác có bán phiên bản bìa cứng có markbook mà tiếc quá, sách dày mà k có kẹp sách đọc hơi bất tiện. Nội dung đọc cuốn lắm, k muốn dừng lại luôn. Chưa đọc hết nhưng thật sự thấy hấp dẫn. Nên mua. Thu gọn",0,quality
4,"Sách đẹp, in nét và chỉn chu, ko có lỗi lặt vặt",0,"quality, price"
5,"đóng gói ổn, giá thành theo mình thấy là rẻ nhất ở tiki rồi, truyện này mình nghĩ cho trẻ 16 , cách dẫn chuyện chia ra làm 2 số phận song song với nhau nhưng khá cuốn không làm mất mạch truyện của cả.",0,"ship, quality, price"
3,Chất liệu giấy tốt.Nhưng bọc ko kĩ nên sách bị móp,0,quality
5,"Xuất sắc, tuy dày nhưng lôi cuốn và dễ đọc, cách kể đan xen về cuộc đời hai người đàn ông khiến người đọc bị cuốn hút và không dễ nhàm chán. Cái kết hơi day dứt, rất đáng đọc!",0,quality
5,"Ship chưa tới 2 tiếng là nhận được òi đóng hàng cũng siu kĩii, tiki khong bao h làm t thất vọng",0,"ship, quality"
5,"Giao hàng nhanh 1 ngày là có, sách okêla nguyên vẹn k bị móp góc, đọc hay và rất cuốn nhe",0,"ship, quality"
5,Giá tốt. Shop đóng gói cẩn thận và giao nhanh. Sẽ tiếp tục ủng hộ ah shop.,0,"ship, quality, price, cskh"
5,"Sách rất hay, đọc sách mà tôi cứ tưởng là mình là một trong hai nhân vật chính này vậy, y như tôi đã sống một cuộc đời khác vậy. Thật sự sách rất hay, đáng đến từng xu bỏ ra.",0,quality
5,"Sách kinh điển nên nội dung hay xuất sắc. Gói hàng chỉn chu, cực kỳ cẩn thận. Giao hàng nhanh, giá tốt. Mọi người nên mua nha!",0,"ship, quality, price"
4,"Nội dung siêu hay và hấp dẫn. Mình đọc liên tù tì trong 4 ngày, bất cứ khi nào có time, thức khuya thật khuya vì không dứt ra được Có một hai lỗi chính tả trong cuốn sách nhưng mình k chụp hình lại",0,"quality, price"
4,"Sách ko bị móp, giao hàng rất nhanh",0,ship
4,"Sách đẹp, gói cẩn thận, chưa đọc nhưng mọi người review khá hay",0,quality
5,"Sách đóng gói đẹp, nội dung hấp dẫn. Cám ơn!!",0,"ship, quality"
4,Đẹp lắm phải mua đi,0,quality
